matchup,home_team,away_team,home_spread_cons,market_total_cons,books_seen,tempo,home_pts,away_pts,proj_total,proj_margin,EDGE_spread,EDGE_total,home_cbd,away_cbd
Cal Baptist Lancers @ Colorado Buffaloes,Colorado Buffaloes,Cal Baptist Lancers,-5.1,150.5,5,69.7,67.9,65.3,133.2,2.7,7.8,-17.3,Colorado,Cal State Northridge
Portland Pilots @ Stanford Cardinal,Stanford Cardinal,Portland Pilots,-21.1,157.0,5,67.7,71.2,63.8,135.1,7.4,28.5,-21.9,Stanford,Portland
Charleston Southern Buccaneers @ Tenn-Martin Skyhawks,Tenn-Martin Skyhawks,Charleston Southern Buccaneers,-5.3,149.3,5,62.2,61.5,59.4,121.0,2.1,7.4,-28.3,UT Martin,Charleston Southern
Stonehill Skyhawks @ Bryant Bulldogs,Bryant Bulldogs,Stonehill Skyhawks,-6.166666666666667,131.16666666666666,3,67.9,69.0,62.8,131.8,6.2,12.37,0.63,Bryant,Stonehill
Campbell Fighting Camels @ Penn State Nittany Lions,Penn State Nittany Lions,Campbell Fighting Camels,-13.25,153.875,8,65.5,66.4,59.8,126.2,6.7,19.95,-27.67,Penn State,Campbell
Lehigh Mountain Hawks @ Binghamton Bearcats,Binghamton Bearcats,Lehigh Mountain Hawks,3.8333333333333335,140.5,3,64.0,62.2,61.1,123.4,1.1,-2.73,-17.1,Binghamton,Lehigh
Brown Bears @ Rhode Island Rams,Rhode Island Rams,Brown Bears,-12.5,136.78571428571428,7,64.1,63.3,60.4,123.7,3.0,15.5,-13.09,Rhode Island,Brown
Eastern Michigan Eagles @ Butler Bulldogs,Butler Bulldogs,Eastern Michigan Eagles,-17.75,152.0,8,65.7,69.5,61.8,131.3,7.7,25.45,-20.7,Butler,Eastern Michigan
Cornell Big Red @ George Mason Patriots,George Mason Patriots,Cornell Big Red,-10.857142857142858,151.85714285714286,7,67.0,67.3,63.9,131.2,3.4,14.26,-20.66,George Mason,Cornell
East Tennessee St Buccaneers @ Dayton Flyers,Dayton Flyers,East Tennessee St Buccaneers,-11.5,141.625,8,61.6,62.8,59.1,121.9,3.7,15.2,-19.72,Dayton,East Tennessee State
William & Mary Tribe @ Duquesne Dukes,Duquesne Dukes,William & Mary Tribe,-5.785714285714286,167.21428571428572,7,65.1,65.4,61.7,127.0,3.7,9.49,-40.21,Duquesne,William & Mary
Maryland-Eastern Shore Hawks @ East Carolina Pirates,East Carolina Pirates,Maryland-Eastern Shore Hawks,-13.5,130.16666666666666,3,65.5,68.0,59.8,127.9,8.2,21.7,-2.27,East Carolina,Maryland Eastern Shore
