🔥 NHL BEST BETS — Shots, Points, Blocks


📊 YESTERDAY RECAP
--------------------
✅ Brady Tkachuk - SOG 3+ → 6
✅ Dylan Cozens - SOG 2+ → 2
✅ Tage Thompson - SOG 2+ → 2
✅ Alex Tuch - SOG 2+ → 3
✅ Connor McDavid - SOG 3+ → 6
✅ Nazem Kadri - SOG 2+ → 2
✅ Connor McDavid - PTS 1+ → 5
✅ Leon Draisaitl - PTS 1+ → 3
✅ Sam Bennett - SOG 2+ → 2
❌ Jack Hughes - SOG 2+ → 1
❌ Matt Boldy - SOG 2+ → 0
✅ Kirill Kaprizov - SOG 2+ → 8
✅ Filip Forsberg - SOG 2+ → 3
✅ Ryan O'Reilly - PTS 1+ → 2
❌ Jakob Chychrun - SOG 2+ → 1
❌ Louis Crevier - SOG 2+ → 1
✅ Trevor Zegras - PTS 1+ → 1
❌ Morgan Rielly - SOG 2+ → 1
✅ Bryan Rust - SOG 2+ → 3
✅ Erik Karlsson - SOG 2+ → 6
❌ Jack Eichel - SOG 2+ → 1
❌ Noah Hanifin - SOG 2+ → 0
✅ William Eklund - SOG 2+ → 5
❌ Nathan MacKinnon - SOG 3+ → 1
❌ Nathan MacKinnon - PTS 1+ → 0
