🔥 100% LOCKS (10/10)
--------------------
Nathan MacKinnon — SOG 3+ | 10/10
Nazem Kadri — SOG 2+ | 10/10

⭐ TIER 1 (9/10)
---------------
Nathan MacKinnon — SOG 4+ | 9/10
Bo Horvat — SOG 2+ | 9/10
Conor Garland — SOG 2+ | 9/10
Adam Fantilli — SOG 2+ | 9/10
Zach Werenski — SOG 2+ | 9/10
Evgeni Malkin — SOG 2+ | 9/10
Erik Karlsson — SOG 2+ | 9/10
Matt Boldy — SOG 2+ | 9/10
Joel Eriksson Ek — SOG 2+ | 9/10
Kirill Kaprizov — SOG 2+ | 9/10
Gabriel Landeskog — SOG 2+ | 9/10
Devon Toews — SOG 2+ | 9/10

⚡ TIER 2 (8/10)
---------------
Nathan MacKinnon — SOG 5+ | 8/10
Alex DeBrincat — SOG 3+ | 8/10
Quinn Hughes — SOG 3+ | 8/10
Viktor Arvidsson — SOG 2+ | 8/10
David Pastrnak — SOG 2+ | 8/10
Michael Carcone — SOG 2+ | 8/10
Clayton Keller — SOG 2+ | 8/10
Auston Matthews — SOG 2+ | 8/10
Morgan Rielly — SOG 2+ | 8/10
Connor Bedard — SOG 2+ | 8/10
Travis Konecny — SOG 2+ | 8/10
Patrick Kane — SOG 2+ | 8/10
Kyle Palmieri — SOG 2+ | 8/10
Artemi Panarin — SOG 2+ | 8/10
Vincent Trocheck — SOG 2+ | 8/10
Mika Zibanejad — SOG 2+ | 8/10
Kiefer Sherwood — SOG 2+ | 8/10
Kirill Marchenko — SOG 2+ | 8/10
Cutter Gauthier — SOG 2+ | 8/10
Troy Terry — SOG 2+ | 8/10
Ben Kindel — SOG 2+ | 8/10
Leon Draisaitl — SOG 2+ | 8/10
Alex Ovechkin — SOG 2+ | 8/10
Jakob Chychrun — SOG 2+ | 8/10
Gavin Brindley — SOG 2+ | 8/10
Brent Burns — SOG 2+ | 8/10
